"linking.linkers.FOXLinker","linking.linkers.TextRazorLinker","linking.linkers.RadboudLinker","linking.linkers.DBpediaSpotlightLinker","linking.linkers.BabelfyLinker","linking.linkers.OpenTapiocaLinker","best index","max. indices","Doc. Content","max. index name"
"0.0","0.0","1.0","0.0","0.0","0.0","2","[2]","Angelina, her father Jon, and her partner Brad never played together in the same movie.","linking.linkers.RadboudLinker"
"1.0","0.0","1.0","0.3333333333333333","0.16666666666666666","0.0","0","[0, 2]","Bosch and Sharp are both home appliances producing companies.","linking.linkers.FOXLinker"
"1.0","0.25","1.0","0.18181818181818182","0.07692307692307693","0.3333333333333333","0","[0, 2]","Cairo was the code name for a project at Microsoft from 1991 to 1996. Its charter was to build technologies for a next generation operating system that would fulfill the vision of Bill.","linking.linkers.FOXLinker"
"1.0","1.0","1.0","0.42857142857142855","0.25","0.0","0","[0, 1, 2]","Eric preferred to play Blues instead of Rock, so he joined Mayall 's band.","linking.linkers.FOXLinker"
"1.0","1.0","1.0","0.3333333333333333","0.2857142857142857","0.5","0","[0, 1, 2]","Despite featuring some of the most promininent musicians of their decade --- like Sinatra, Dylan, Joel, and Santana --- Columbia was aquired by Sony in the 1980s.","linking.linkers.FOXLinker"
"1.0","1.0","1.0","0.3333333333333333","0.3333333333333333","1.0","0","[0, 1, 2, 5]","Pixar produced Cars, and John directed it.","linking.linkers.FOXLinker"
"0.0","0.0","1.0","0.0","0.0","1.0","2","[2, 5]","Atletico has beaten its archrival Real.","linking.linkers.RadboudLinker"
"1.0","0.6666666666666666","0.5","0.4","0.16666666666666666","1.0","0","[0, 5]","Nixon resigned after Watergate despite his success in the Ping-Pong Diplomacy with China.","linking.linkers.FOXLinker"
"0.0","0.0","1.0","0.25","0.0","0.0","2","[2]","While Apple is an electronics company, Mango is a clothing one and Orange is a communication one.","linking.linkers.RadboudLinker"
"0.0","0.0","1.0","0.0","0.0","0.0","2","[2]","David and Victoria added spice to their marriage.","linking.linkers.RadboudLinker"
"0.0","0.0","0.0","0.0","0.5","0.0","4","[4]","Mars, Galaxy, and Bounty are all chocolate.","linking.linkers.BabelfyLinker"
"1.0","0.0","0.0","0.25","0.0","0.0","0","[0]","Karl and Theo made their extreme fortunes selling low-price groceries.","linking.linkers.FOXLinker"
"0.0","0.0","0.0","0.0","0.0","0.0","0","[0, 1, 2, 3, 4, 5]","Dylan performed Hurricane about the black fighter Carter, from his album Desire.","NONE"
"1.0","0.0","1.0","0.5","0.5","1.0","0","[0, 2, 5]","Obama welcomed Merkel upon her arrival at JFK.","linking.linkers.FOXLinker"
"0.0","0.0","0.0","0.25","0.25","1.0","5","[5]","Onassis married Kennedy on October 20, 1968.","linking.linkers.OpenTapiocaLinker"
"0.0","0.0","1.0","0.0","0.0","0.0","2","[2]","Yabo plays for Aachen.","linking.linkers.RadboudLinker"
"1.0","1.0","1.0","1.0","0.3333333333333333","0.0","0","[0, 1, 2, 3]","Macedonia is a province of Greece.","linking.linkers.FOXLinker"
