"linking.linkers.FOXLinker","linking.linkers.TextRazorLinker","linking.linkers.RadboudLinker","linking.linkers.DBpediaSpotlightLinker","linking.linkers.BabelfyLinker","linking.linkers.OpenTapiocaLinker","best index","max. indices","Doc. Content","max. index name"
"0.0","0.0","0.8","0.0","0.0","0.0","2","[2]","Angelina, her father Jon, and her partner Brad never played together in the same movie.","linking.linkers.RadboudLinker"
"0.6666666666666666","0.0","1.0","0.4","0.25","0.0","2","[2]","Bosch and Sharp are both home appliances producing companies.","linking.linkers.RadboudLinker"
"0.8","0.28571428571428575","0.8","0.28571428571428575","0.125","0.3333333333333333","0","[0, 2]","Cairo was the code name for a project at Microsoft from 1991 to 1996. Its charter was to build technologies for a next generation operating system that would fulfill the vision of Bill.","linking.linkers.FOXLinker"
"0.4","0.6666666666666666","0.8571428571428571","0.5454545454545454","0.3333333333333333","0.0","2","[2]","Eric preferred to play Blues instead of Rock, so he joined Mayall 's band.","linking.linkers.RadboudLinker"
"0.6666666666666666","0.2857142857142857","0.5","0.3333333333333333","0.30769230769230765","0.25","0","[0]","Despite featuring some of the most promininent musicians of their decade --- like Sinatra, Dylan, Joel, and Santana --- Columbia was aquired by Sony in the 1980s.","linking.linkers.FOXLinker"
"0.8","0.5","0.5","0.3333333333333333","0.3333333333333333","0.5","0","[0]","Pixar produced Cars, and John directed it.","linking.linkers.FOXLinker"
"0.0","0.0","0.6666666666666666","0.0","0.0","0.6666666666666666","2","[2, 5]","Atletico has beaten its archrival Real.","linking.linkers.RadboudLinker"
"0.4","0.5714285714285715","0.3333333333333333","0.4444444444444445","0.2","0.4","1","[1]","Nixon resigned after Watergate despite his success in the Ping-Pong Diplomacy with China.","linking.linkers.TextRazorLinker"
"0.0","0.0","0.5","0.28571428571428575","0.0","0.0","2","[2]","While Apple is an electronics company, Mango is a clothing one and Orange is a communication one.","linking.linkers.RadboudLinker"
"0.0","0.0","1.0","0.0","0.0","0.0","2","[2]","David and Victoria added spice to their marriage.","linking.linkers.RadboudLinker"
"0.0","0.0","0.0","0.0","0.4","0.0","4","[4]","Mars, Galaxy, and Bounty are all chocolate.","linking.linkers.BabelfyLinker"
"0.6666666666666666","0.0","0.0","0.3333333333333333","0.0","0.0","0","[0]","Karl and Theo made their extreme fortunes selling low-price groceries.","linking.linkers.FOXLinker"
"0.0","0.0","0.0","0.0","0.0","0.0","0","[0, 1, 2, 3, 4, 5]","Dylan performed Hurricane about the black fighter Carter, from his album Desire.","NONE"
"0.6666666666666666","0.0","0.8571428571428571","0.3333333333333333","0.5","0.6666666666666666","2","[2]","Obama welcomed Merkel upon her arrival at JFK.","linking.linkers.RadboudLinker"
"0.0","0.0","0.0","0.3333333333333333","0.3333333333333333","1.0","5","[5]","Onassis married Kennedy on October 20, 1968.","linking.linkers.OpenTapiocaLinker"
"0.0","0.0","0.6666666666666666","0.0","0.0","0.0","2","[2]","Yabo plays for Aachen.","linking.linkers.RadboudLinker"
"0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.4","0.0","0","[0, 1, 2, 3]","Macedonia is a province of Greece.","linking.linkers.FOXLinker"
"0.7499999999999999","0.25","0.33333333333333337","0.4444444444444445","0.37499999999999994","0.888888888888889","5","[5]","Allen founded the EMP in Seattle, which featured exhibitions about Hendrix and Dylan, but also about various science fiction movies.","linking.linkers.OpenTapiocaLinker"
"0.0","0.0","0.5","0.4","0.0","0.0","2","[2]","Madonna played Eva and was seen with Carlos.","linking.linkers.RadboudLinker"
"0.8","0.5","0.8","0.6","0.2222222222222222","0.5","0","[0, 2]","Jobs and Baez dated in the late 1970s, and she performed at his Stanford memorial.","linking.linkers.FOXLinker"
"0.0","0.0","0.0","0.0","0.0","0.0","0","[0, 1, 2, 3, 4, 5]","Haug congratulated Red Bull.","NONE"
"0.0","0.0","0.0","0.4","0.0","0.0","3","[3]","Müller scored a hattrick against England.","linking.linkers.DBpediaSpotlightLinker"
"0.5","1.0","1.0","0.5","0.28571428571428575","0.0","1","[1, 2]","The Enola Gay bombed Hiroshima at the end of Second World War.﻿","linking.linkers.TextRazorLinker"
"0.0","0.0","0.0","0.5714285714285715","0.0","0.0","3","[3]","Völler will never forget the match against Oranje in San Siro.","linking.linkers.DBpediaSpotlightLinker"
"0.0","0.0","0.6666666666666666","0.0","0.0","0.6666666666666666","2","[2, 5]","Hertha won against Dortmund.","linking.linkers.RadboudLinker"
